Car ID,Car BBox,License Plate BBox,License Plate Text,Formatted License Plate Text,BBox Score
5,"[62.09340286254883, 158.80026245117188, 523.8269653320312, 501.67877197265625]","[217.34201049804688, 316.23358154296875, 351.7215576171875, 354.0524597167969]",MHL3BN8529,MH43BN8529,0.9304786324501038
6,"[1049.8834228515625, 185.29873657226562, 1441.2686767578125, 445.334716796875]","[1292.1741943359375, 354.6271057128906, 1378.274658203125, 392.8611145019531]",MML3BE5573,MM43BE5573,0.8900981545448303
7,"[662.2918701171875, 186.83966064453125, 1088.2891845703125, 481.79681396484375]","[895.6971435546875, 357.56494140625, 993.1647338867188, 391.3705749511719]",ChhL3CC6135,Format not compliant,0.8815070390701294
