                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.84269,                0.64583,                 1.0396,                0.96427,                0.97333,                0.98366,                0.79624,                0.71604,                 0.5602,                0.97104,              0.0013268,              0.0013268,              0.0013268
                     37,                0.80714,                0.60982,                 1.0205,                0.96987,                0.97333,                0.97748,                0.81723,                0.66253,                0.55616,                0.96673,               0.001307,               0.001307,               0.001307
                     38,                0.76928,                0.59072,                0.99324,                0.99536,                   0.96,                0.98318,                0.80779,                0.70123,                0.55296,                0.99456,              0.0012872,              0.0012872,              0.0012872
                     39,                  0.793,                0.56647,                0.99422,                0.97065,                0.97333,                0.98219,                0.81953,                0.67139,                 0.5441,                0.95384,              0.0012674,              0.0012674,              0.0012674
                     40,                 0.7875,                0.57125,                0.97718,                0.96627,                0.97333,                0.98469,                0.78837,                0.74759,                0.58468,                 0.9662,              0.0012476,              0.0012476,              0.0012476
                     41,                0.83061,                0.61252,                 1.0192,                0.97216,                0.98667,                0.98454,                0.82422,                0.73976,                0.53625,                0.97519,              0.0012278,              0.0012278,              0.0012278
                     42,                0.79321,                0.56598,                 1.0038,                 0.9693,                0.98667,                0.98501,                0.79667,                0.68353,                0.52877,                0.94737,               0.001208,               0.001208,               0.001208
                     43,                0.75879,                0.57091,                0.99906,                 0.9671,                0.97333,                0.98329,                0.79861,                0.73243,                0.53147,                0.99554,              0.0011882,              0.0011882,              0.0011882
                     44,                0.77431,                0.58124,                 1.0147,                 0.9848,                0.97333,                0.98445,                0.81498,                0.67924,                0.48003,                0.95075,              0.0011684,              0.0011684,              0.0011684
                     45,                0.78203,                0.56377,                0.96916,                0.98248,                0.97333,                0.98421,                0.80832,                0.69847,                0.47291,                0.96005,              0.0011486,              0.0011486,              0.0011486
                     46,                0.77508,                0.56797,                 1.0222,                0.99836,                0.97333,                0.98094,                0.81747,                0.67428,                0.50166,                0.94259,              0.0011288,              0.0011288,              0.0011288
                     47,                0.70895,                0.53362,                0.97665,                0.99752,                0.97333,                 0.9831,                0.82506,                 0.6744,                0.46475,                0.93824,               0.001109,               0.001109,               0.001109
                     48,                0.81957,                0.59642,                 1.0474,                0.96066,                 0.9767,                0.98471,                0.81118,                0.67204,                0.47228,                0.93609,              0.0010892,              0.0010892,              0.0010892
                     49,                0.72242,                0.54039,                0.99399,                0.99725,                0.97333,                0.98363,                0.81824,                0.65667,                 0.4448,                0.94731,              0.0010694,              0.0010694,              0.0010694
                     50,                0.69863,                0.52958,                0.97024,                 0.9854,                0.97333,                0.98463,                0.83101,                0.63604,                0.45947,                0.94875,              0.0010496,              0.0010496,              0.0010496
                     51,                0.70927,                0.51131,                0.97142,                      1,                0.98632,                 0.9857,                 0.8281,                0.63791,                0.43515,                 0.9291,              0.0010298,              0.0010298,              0.0010298
                     52,                0.70759,                0.51618,                0.96705,                0.98652,                0.97594,                0.98572,                0.84192,                0.65178,                0.45608,                0.93839,                0.00101,                0.00101,                0.00101
                     53,                0.68799,                0.49528,                 0.9588,                      1,                0.95866,                0.98466,                0.83483,                0.64633,                0.44896,                0.93094,              0.0009902,              0.0009902,              0.0009902
                     54,                0.71763,                0.54964,                0.97537,                 0.9994,                0.97333,                0.98598,                 0.8221,                0.69734,                0.46411,                0.95132,              0.0009704,              0.0009704,              0.0009704
                     55,                0.68161,                0.50022,                0.96368,                      1,                0.97233,                0.98445,                0.81778,                0.70116,                0.48052,                0.95288,              0.0009506,              0.0009506,              0.0009506
                     56,                0.70483,                0.51496,                0.99276,                      1,                  0.972,                0.98346,                0.83048,                0.63827,                0.46427,                0.93049,              0.0009308,              0.0009308,              0.0009308
                     57,                0.71249,                0.53028,                0.97124,                0.99457,                0.98667,                0.98583,                0.84755,                0.64665,                0.43317,                0.93587,               0.000911,               0.000911,               0.000911
                     58,                 0.7027,                0.49759,                0.97318,                0.97403,                0.97333,                0.98476,                0.81037,                0.70059,                0.45716,                0.95654,              0.0008912,              0.0008912,              0.0008912
                     59,                0.68051,                0.49755,                0.96106,                0.98534,                0.98667,                0.98568,                 0.8365,                0.62893,                0.45208,                0.92295,              0.0008714,              0.0008714,              0.0008714
                     60,                0.70722,                0.49278,                 0.9667,                0.98358,                0.98667,                0.98477,                0.81636,                0.65274,                0.46159,                0.93762,              0.0008516,              0.0008516,              0.0008516
                     61,                0.72509,                0.49637,                0.97118,                0.99336,                0.97333,                0.98552,                0.82286,                0.65439,                 0.4169,                0.93305,              0.0008318,              0.0008318,              0.0008318
                     62,                0.68428,                 0.4636,                0.96256,                0.99719,                0.97333,                0.98564,                0.82149,                0.64895,                0.43077,                0.94499,               0.000812,               0.000812,               0.000812
                     63,                0.69281,                0.49728,                0.95621,                0.97339,                0.57333,                0.59591,                0.50497,                0.59568,                0.42675,                0.91767,              0.0007922,              0.0007922,              0.0007922
                     64,                0.69803,                0.47564,                0.96528,                0.98495,                0.98667,                0.98528,                0.84383,                0.62543,                 0.4279,                0.92575,              0.0007724,              0.0007724,              0.0007724
                     65,                0.66812,                0.48002,                0.95553,                0.98538,                0.98667,                0.98558,                0.81658,                0.72553,                0.45723,                0.96286,              0.0007526,              0.0007526,              0.0007526
                     66,                 0.6732,                0.46823,                0.96835,                0.97219,                0.98667,                0.98476,                0.83985,                0.65999,                0.43002,                0.93614,              0.0007328,              0.0007328,              0.0007328
                     67,                0.67288,                0.45661,                0.97192,                0.98161,                0.98667,                0.98507,                0.84932,                0.59981,                0.42565,                0.91959,               0.000713,               0.000713,               0.000713
                     68,                0.66811,                0.46842,                0.95924,                0.98665,                0.98565,                0.98535,                0.84193,                0.62075,                0.40588,                0.91833,              0.0006932,              0.0006932,              0.0006932
